TOP TEN GAMES,,,,,
Viewers,TV + Streaming,Away,Home,Date,Network
3.192M,(3.236M),Utah,USC,10/14/2017,ABC
,(2.853M),Clemson,Syracuse,10/13/2017,ESPN
,(2.532M),S. Carolina,Tennessee,10/14/2017,ESPN
2.375M,(2.417M),Ohio State,Nebraska,10/14/2017,FS1
,(2.277M),Washington,Arizona St.,10/14/2017,ESPN
,(2.261M),Washington St.,Cal,10/13/2017,ESPN
,(2.112M),Texas A&M,Florida,10/14/2017,ESPN2
,(1.884M),College Gameday,From James Madison,10/7/2017,ESPN
,(894K),FSU,Duke,10/14/2017,ESPN2
,(839K),Texas Tech,W. Virginia,10/14/2017,ESPNU
700K,,Oregon,Stanford,10/14/2017,FS1
568K,,TCU,K-State,10/14/2017,FS1
,(431K),Northwestern,Maryland,10/14/2017,ESPN2
,(421K),Nevada,Colorado St.,10/14/2017,ESPN2
299K,,Baylor,Oklahoma St.,10/14/2017,FS1
,(295K),Navy,Memphis,10/14/2017,ESPNU
,(173K),Cincinnati,USF,10/14/2017,ESPNU
,(153K),Texas St.,UL-Lafayette,10/12/2017,ESPNU
n.a.,,UAB,Charlotte,10/14/2017,beIN
6.508M,(6.628M),Michigan State,Michigan,10/7/2017,ABC
,(4.774M),Alabama,Texas A&M,10/7/2017,ESPN
4.128M,,LSU,Florida,10/7/2017,CBS
2.831M,(2.887M),Penn State,Northwestern,10/7/2017,ABC
,(2.726M),Miami,FSU,10/7/2017,ESPN
2.645M,,Maryland,Ohio State,10/7/2017,FOX
2.505M,,Notre Dame,UNC,10/7/2017,ABC
2.432M,,Iowa State,Oklahoma,10/7/2017,FOX
,(1.958M),Georgia,Vanderbilt,10/7/2017,ESPN
1.922M,,Washington St.,Oregon,10/7/2017,FOX
,(1.644M),College Gameday,From WVU-TCU,10/7/2017,ESPN
,(1.634M),Cal,Washington,10/7/2017,ESPN
,(1.549M),Louisville,N.C. State,10/5/2017,ESPN
1.266M,,K-State,Texas,10/7/2017,FS1
1.149M,,W. Virginia,TCU,10/7/2017,FS1
,(1.043M),Boise State,BYU,10/6/2017,ESPN
,(864K),Wake Forest,Clemson,10/7/2017,ESPN2
,(769K),Memphis,UConn,10/6/2017,ESPN
631K,,Stanford,Utah,10/7/2017,FS1
,(586K),Minnesota,Purdue,10/7/2017,ESPN2
,(458K),Va. Tech,Boston Coll.,10/7/2017,ESPN2
,(421K),Arkansas St.,Ga. Southern,10/4/2017,ESPN2
351K,,Texas Tech,Kansas,10/7/2017,FS1
,(344K),SDSU,UNLV,10/7/2017,ESPN2
,(131K),UCF,Cincinnati,10/7/2017,ESPNU
,(90K),W. Michigan,Buffalo,10/7/2017,ESPNU
,(61K),Temple,ECU,10/7/2017,ESPNU
10K,,Army,Rice,10/7/2017,beIN
4.613M,(4.693M),Clemson,Va. Tech,9/30/2017,ABC
3.950M,,Georgia,Tennessee,9/30/2017,CBS
,(3.028M),Mississippi,Alabama,9/30/2017,ESPN
2.894M,(2.955M),FSU,Wake Forest,9/30/2017,ABC
2.844M,(2.890M),Northwestern,Wisconsin,9/30/2017,ABC
,(2.815M),Vanderbilt,Florida,9/30/2017,ESPN
,(2.776M),USC,Washington St.,9/29/2017,ESPN
2.685M,,Oklahoma St.,Texas Tech,9/30/2017,FOX
2.520M,,Iowa,Michigan St.,9/30/2017,FOX
,(2.383M),Mississippi St.,Auburn,9/30/2017,ESPN
,(1.709M),Miami,Duke,9/29/2017,ESPN
,(1.651M),Texas,Iowa State,9/28/2017,ESPN
,(1.498M),College Gameday,From Clemson-VT,9/30/2017,ESPN
1.071M,,Nebraska,Illinois,9/29/2017,FS1
,(1.039M),Colorado,UCLA,9/30/2017,ESPN2
,(988K),ESPN Goal Line,,9/30/2017,ESPN
,(856K),Troy,LSU,9/30/2017,ESPNU
798K,,Miami (Oh.),Notre Dame,9/30/2017,NBCSN
,(670K),Baylor,K-State,9/30/2017,ESPN2
649K,,Cal,Oregon,9/30/2017,FS1
,(578K),UNC,Ga. Tech,9/30/2017,ESPN2
511K,,Maryland,Minnesota,9/30/2017,FS1
,(442K),Memphis,UCF,9/30/2017,ESPN2
,(251K),Navy,Tulsa,9/30/2017,ESPNU
,(209K),Houston,Temple,9/30/2017,ESPNU
,(106K),San Jose St.,UNLV,9/30/2017,ESPNU
4K,,Charlotte,FIU,9/30/2017,beIN
5.259M,(5.341M),Penn State,Iowa,9/23/2017,ABC
3.749M,(3.850M),NCSU,FSU,9/23/2017,ABC
3.521M,,Michigan,Purdue,9/23/2017,FOX
3.456M,,Notre Dame,Michigan St.,9/23/2017,FOX
3.122M,,USC,Cal,9/23/2017,ABC
2.993M,,Alabama,Vanderbilt,9/23/2017,CBS
2.798M,(2.897M),Miss. St.,Georgia,9/23/2017,ESPN
2.611M,(2.708M),Texas A&M,Arkansas,9/23/2017,ESPN
2.479M,(2.574M),TCU,Oklahoma St.,9/23/2017,ESPN
1.665M,(1.677M),UCLA,Stanford,9/23/2017,ESPN
1.645M,,College Gameday,From Times Square,9/23/2017,ESPN
1.288M,(1.324M),Virginia,Boise St.,9/22/2017,ESPN2
1.254M,,Oklahoma,Baylor,9/23/2017,FS1
1.060M,,Syracuse,LSU,9/23/2017,ESPN2
1.049M,,Washington,Colorado,9/23/2017,FS1
992K,,Temple,USF,9/21/2017,ESPN
816K,,Bos. College,Clemson,9/23/2017,ESPN2
581K,,Utah,Arizona,9/22/2017,FS1
503K,,Auburn,Missouri,9/23/2017,ESPNU
493K,,W. Virginia,Kansas,9/23/2017,ESPNU
455K,,Hawaii,Wyoming,9/23/2017,ESPN2
436K,,Duke,UNC,9/23/2017,ESPNU
371K,,ABC reverse mirror,,9/23/2017,ESPN2
247K,,UCF,Maryland,9/23/2017,FS1
84K,,ECU,UConn,9/24/2017,ESPNU
5K,,UAB,N. Texas,9/23/2017,beIN
5.133M,,Tennessee,Florida,9/16/2017,CBS
5.064M,(5.206M),Clemson,Louisville,9/16/2017,ABC
4.912M,(4.953M),Texas,USC,9/16/2017,FOX
3.238M,,UCLA,Memphis,9/16/2017,ABC
2.506M,,Army,Ohio State,9/16/2017,FOX
2.498M,(2.581M),LSU,Miss. St.,9/16/2017,ESPN
2.274M,,Wisconsin,BYU,9/16/2017,ABC
1.779M,(1.845M),Notre Dame,Boston College,9/16/2017,ESPN
1.727M,,College Gameday,From Clemson-Louisville,9/16/2017,ESPN
1.613M,(1.653M),Colorado St.,Alabama,9/16/2017,ESPN2
1.566M,(1.621M),Oklahoma St.,Pittsburgh,9/16/2017,ESPN
1.369M,,Illinois,USF,9/15/2017,ESPN
1.195M,,Mississippi,Cal,9/16/2017,ESPN
1.053M,,Boise State,New Mexico,9/14/2017,ESPN
829K,,Arizona,UTEP,9/16/2017,ESPN
808K,,N. Illinois,Nebraska,9/16/2017,FS1
669K,,No. Texas,Iowa,9/16/2017,ESPN2
415K,,K-State,Vanderbilt,9/16/2017,ESPNU
372K,,SMU,TCU,9/16/2017,ESPNU
294K,,SJSU,Utah,9/16/2017,ESPN2
286K,,UConn,Virginia,9/16/2017,ESPN2
215K,,UMass,Temple,9/15/2017,ESPNU
195K,,Kansas,Ohio,9/16/2017,ESPNU
4K,,Beth-Cookman,FAU,9/16/2017,beIN
8.081M,(8.255M),Oklahoma,Ohio State,9/9/2017,ABC
4.088M,,Georgia,Notre Dame,9/9/2017,NBC
3.701M,(3.742M),Pittsburgh,Penn State,9/9/2017,ABC
3.611M,(3.693M),Cincinnati,Michigan,9/9/2017,ABC
3.361M,(3.504M),Auburn,Clemson,9/9/2017,ESPN
2.587M,,Nebraska,Oregon,9/9/2017,FOX
2.345M,,TCU,Arkansas,9/9/2017,CBS
2.263M,,Louisville,UNC,9/9/2017,ESPN
2.070M,,Fresno St.,Alabama,9/9/2017,ESPN2
2.069M,,Stanford,USC,9/9/2017,FOX
1.584M,,College Gameday,From Oklahoma-OSU,9/9/2017,ESPN
1.406M,,Iowa,Iowa State,9/9/2017,ESPN2
1.265M,,Boise State,Washington St.,9/9/2017,ESPN
966K,,Oklahoma St.,So. Alabama,9/8/2017,ESPN2
802K,,S. Carolina,Missouri,9/9/2017,ESPN2
668K,,Utah,BYU,9/9/2017,ESPN2
410K,,Minnesota,Oregon St.,9/9/2017,FS1
403K,,Ohio,Purdue,9/8/2017,FS1
358K,,Indiana,Virginia,9/9/2017,ESPNU
353K,,Nicholls St.,Texas A&M,9/9/2017,ESPNU
242K,,Houston,Arizona,9/9/2017,ESPNU
239K,,ECU,W. Virginia,9/9/2017,FS2
161K,,Northwestern,Duke,9/9/2017,ESPNU
120K,,Sam Hou. St.,Pr. View A&M,9/7/2017,ESPNU
12.335M,(12.557M),Alabama,FSU,9/2/2017,ABC
7.650M,(7.805M),Michigan,Florida,9/2/2017,ABC
5.134M,(5.268M),Tennessee,Ga. Tech,9/4/2017,ESPN
5.126M,(5.428M),Ohio State,Indiana,8/31/2017,ESPN
4.645M,(4.737M),W. Virginia,Virginia Tech,9/3/2017,ABC
3.190M,,Texas A&M,UCLA,9/3/2017,FOX
2.332M,,Akron,Penn State,9/2/2017,ABC
2.046M,(2.081M),Maryland,Texas,9/2/2017,FS1
2.045M,,College Gameday,From Alabama-FSU,9/2/2017,ESPN
1.792M,,Purdue,Louisville,9/2/2017,FOX
1.763M,,BYU,LSU,9/2/2017,ESPN
1.760M,,Utah St.,Wisconsin,9/1/2017,ESPN
1.718M,,App. State,Georgia,9/2/2017,ESPN
1.629M,,Kent State,Clemson,9/2/2017,ESPN
1.580M,,Temple,Notre Dame,9/2/2017,NBC
1.558M,,N.C. State,So. Carolina,9/2/2017,ESPN
1.111M,,UTEP,Oklahoma,9/2/2017,FOX
971K,,Washington,Rutgers,9/1/2017,FS1
537K,,Bowling Green,Michigan St.,9/2/2017,ESPNU
444K,,Navy,Fla. Atlantic,9/1/2017,ESPNU
436K,,Montana St.,Washington St.,9/2/2017,FS1
428K,,S.C. State,Southern,9/3/2017,ESPN2
382K,,Tulsa,Oklahoma St.,8/31/2017,FS1
194K,,Troy,Boise St.,9/2/2017,ESPNU
161K,,So. Alabama,Mississippi,9/2/2017,ESPNU
137K,,Liberty,Baylor,9/2/2017,FS2
939K,,Portland State,BYU,8/26/2017,ESPN
725K,,Chattanooga,Jacksonville St.,8/26/2017,ESPN
653K,,Stanford,Rice,8/26/2017,ESPN
228K,,Texas Southern,FAMU,8/26/2017,ESPNU
190K,,Colgate,Cal Poly,8/26/2017,ESPNU
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
